,Algorithm,Map,Path_length,Iteration,Setup,Obstacle_type,Algorithm_Type,Q_obstacle
706,RRT_Sobol_Sampler,C4A,222.1760339,1325.0,4.0,Concave,Probabilistic,2431
708,RRT_Sobol_Sampler,C4A,222.1760339,1287.0,4.0,Concave,Probabilistic,2431
710,RRT_Sobol_Sampler,C4A,222.1760339,1294.0,4.0,Concave,Probabilistic,2431
712,RRT_Sobol_Sampler,C4A,222.1760339,1282.0,4.0,Concave,Probabilistic,2431
714,RRT_Sobol_Sampler,C4A,193.7525993,863.0,5.0,Concave,Probabilistic,2431
716,RRT_Sobol_Sampler,C4A,193.7525993,865.0,5.0,Concave,Probabilistic,2431
718,RRT_Sobol_Sampler,C4A,193.7525993,871.0,5.0,Concave,Probabilistic,2431
720,RRT_Sobol_Sampler,C4A,193.7525993,863.0,5.0,Concave,Probabilistic,2431
722,RRT_Sobol_Sampler,C4A,193.7525993,862.0,5.0,Concave,Probabilistic,2431
724,RRT_Sobol_Sampler,C4A,193.7525993,870.0,5.0,Concave,Probabilistic,2431
726,RRT_Sobol_Sampler,C4A,193.7525993,866.0,5.0,Concave,Probabilistic,2431
728,RRT_Sobol_Sampler,C4A,193.7525993,866.0,5.0,Concave,Probabilistic,2431
730,RRT_Sobol_Sampler,C4A,193.7525993,872.0,5.0,Concave,Probabilistic,2431
732,RRT_Sobol_Sampler,C4A,193.7525993,876.0,5.0,Concave,Probabilistic,2431
734,RRT_Star,C4A,186.7218785,1067.0,5.0,Concave,Probabilistic,2431
736,RRT_Star,C4A,186.4298944,1528.0,5.0,Concave,Probabilistic,2431
738,RRT_Star,C4A,194.4469912,1865.0,5.0,Concave,Probabilistic,2431
740,RRT_Star,C4A,194.7980773,107.0,5.0,Concave,Probabilistic,2431
742,RRT_Star,C4A,191.196697,591.0,5.0,Concave,Probabilistic,2431
744,RRT_Star,C4A,190.9714138,1408.0,5.0,Concave,Probabilistic,2431
746,RRT_Star,C4A,201.8441155,1010.0,5.0,Concave,Probabilistic,2431
748,RRT_Star,C4A,190.7728922,1987.0,5.0,Concave,Probabilistic,2431
750,RRT_Star,C4A,188.6850799,1601.0,5.0,Concave,Probabilistic,2431
752,RRT_Star,C4A,198.7990903,1058.0,5.0,Concave,Probabilistic,2431
754,RRT_Star,C4A,205.1731401,1524.0,4.0,Concave,Probabilistic,2431
756,RRT_Star,C4A,191.8190314,1459.0,4.0,Concave,Probabilistic,2431
758,RRT_Star,C4A,188.0356449,1734.0,4.0,Concave,Probabilistic,2431
760,RRT_Star,C4A,196.2127644,1460.0,4.0,Concave,Probabilistic,2431
762,RRT_Star,C4A,201.2890637,1643.0,4.0,Concave,Probabilistic,2431
764,RRT_Star,C4A,194.6261633,1815.0,4.0,Concave,Probabilistic,2431
766,RRT_Star,C4A,200.0103812,1143.0,4.0,Concave,Probabilistic,2431
768,RRT_Star,C4A,192.6300928,1637.0,4.0,Concave,Probabilistic,2431
